0 CF FF FF 5A 5F FF FF                  CD: 70 track: 0   min: 0 sek: A5
B4 29 0 FF FF BC FF 6F                  CD: 96 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 6D 0 FF FF FF FF DE                  CD: D2 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BC FE FF 6F 2B FF BC                  CD: 3 track: 1   min: 0 sek: 90
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FE 6F FF FF FF FF BC                  CD: 41 track: 90   min: 0 sek: 0
0 FF FF FF FF BC B4 BC                  CD: 40 track: 0   min: 0 sek: 0
B4 2E EC CE FF BC FF BC                  CD: 91 track: 13   min: 31 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 BC FE 6F 2A FF FF BC                  CD: 3 track: 1   min: 90 sek: D5
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF FF FF FE                  CD: 96 track: FF   min: 0 sek: 0
B4 FF 6F BC AD DC FF BC                  CD: 40 track: 90   min: 43 sek: 52
AD DC FF BC B4 BC FE FF                  CD: 63 track: 0   min: 43 sek: 4B
B4 FF FF FE FF FF 6F BC                  CD: 40 track: 0   min: 1 sek: 0
BC FE FF FF FF 6F BC B4                  CD: 41 track: 0   min: 0 sek: 0
B4 BC FE FF 6F 0 FF BC                  CD: 3 track: 1   min: 0 sek: 90
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF B4                  CD: 95 track: FF   min: 0 sek: 0
B4 FF 6F FF FF FF FF BC                  CD: 40 track: 90   min: 0 sek: 0
29 0 FF FF FF FF BC B4                  CD: BF track: 0   min: 0 sek: 0
B4 2E EC CE FF BC FF DE                  CD: 91 track: 13   min: 31 sek: 0
B4 BC FE FF FF FF 6F DE                  CD: 3 track: 1   min: 0 sek: 0
B4 BC FE FF FF FF F7 2C                  CD: 3 track: 1   min: 0 sek: 0
B4 FF FF FF FF FF 6F BC                  CD: 40 track: 0   min: 0 sek: 0
FF FF FF 6F BC B4 2B 0                  CD: 40 track: 0   min: 90 sek: 43
B4 BC FF 6F 0 FF FF BC                  CD: 3 track: 0   min: 90 sek: FF
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF FF B4 FE                  CD: 96 track: FF   min: 0 sek: 0
B4 FF EE FB CD DC FF BC                  CD: 40 track: 11   min: 4 sek: 32
6E E7 FD E5 A5 E7 F7 FF                  CD: 58 track: 2   min: 1A sek: 5A
B4 FF BC FE FF FF 6F BC                  CD: 40 track: 43   min: 1 sek: 0
BC FE FF FF FF 6F BC B4                  CD: 41 track: 0   min: 0 sek: 0
B4 BC 7F FF DE FF FF BC                  CD: 3 track: 80   min: 0 sek: 21
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF B4                  CD: 95 track: FF   min: 0 sek: 0
B4 FE 6F BC FF FF FF BC                  CD: 41 track: 90   min: 43 sek: 0
FF FF FF BC B4 BB FE FF                  CD: 40 track: 0   min: 43 sek: 4B
B4 EC AD B4 FF FF 6F BC                  CD: 53 track: 52   min: 4B sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 BB FE FF 6F 2C 8E BC                  CD: 4 track: 1   min: 0 sek: 90
B4 2C E8 8E 98 CE FF BC                  CD: 93 track: 17   min: 71 sek: 67
B4 2B 0 FF FF FF FF FF                  CD: 94 track: FF   min: 0 sek: 0
B4 FF BC FF FF FF FF BC                  CD: 40 track: 43   min: 0 sek: 0
FF FF FF FF BC B4 BB FE                  CD: 40 track: 0   min: 0 sek: 43
B4 29 FF EF 77 FF B7 DE                  CD: 96 track: 0   min: 10 sek: 88
B4 BB FF 7F FF FF B7 DE                  CD: 4 track: 0   min: 80 sek: 0
B4 BB FE FF ED C1 FF EF                  CD: 4 track: 1   min: 0 sek: 12
B0 6D 0 FF FF FF FF BC                  CD: D2 track: FF   min: 0 sek: 0
B4 2C E8 8E 98 CE FF BC                  CD: 93 track: 17   min: 71 sek: 67
B4 FF BE FF FF FF FF BC                  CD: 40 track: 41   min: 0 sek: 0
0 FF FF FF FF BC B4 BB                  CD: 40 track: 0   min: 0 sek: 0
B4 2A 0 FF B4 FF 6F BC                  CD: 95 track: FF   min: 0 sek: 4B
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
B4 BB FE FF FF FF 6F 9E                  CD: 4 track: 1   min: 0 sek: 0
B4 6D 0 FF FF FF FF BC                  CD: D2 track: FF   min: 0 sek: 0
B4 BF FF B4 8E CE FF BC                  CD: 0 track: 0   min: 4B sek: 71
B4 2C E8 8E 98 CE FF BC                  CD: 93 track: 17   min: 71 sek: 67
B4 2B 0 FF BC FF 6F BC                  CD: 94 track: FF   min: 0 sek: 43
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
5A 5D FF 7F FF FF B7 B4                  CD: E2 track: 0   min: 80 sek: 0
B4 FF FF BC FF FF 6F BC                  CD: 40 track: 0   min: 43 sek: 0
FF FF 6F BC B4 2E EC CE                  CD: 40 track: 90   min: 43 sek: 4B
B4 FE 6F B4 FF FF FF BC                  CD: 41 track: 90   min: 4B sek: 0
B4 6D 0 FF FF FF FF BC                  CD: D2 track: FF   min: 0 sek: 0
B4 2C E8 8E CE BB FF BC                  CD: 93 track: 17   min: 71 sek: 31
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF DE                  CD: 96 track: FF   min: 0 sek: 0
B6 5D FF FB EC DC 7F DE                  CD: E2 track: 0   min: 4 sek: 13
B4 2E EC CE AD DC 7F DE                  CD: 91 track: 13   min: 31 sek: 52
B4 6D 0 FF FF BC F7 6F                  CD: D2 track: FF   min: 0 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 BB FE 7F FF FF B7 DE                  CD: 4 track: 1   min: 80 sek: 0
B4 0 FF BB FF FF 6F BC                  CD: BF track: 0   min: 44 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
5A 7F B7 0 FF FF FF BC                  CD: C0 track: 48   min: FF sek: 0
6D 0 FF FF FF FF BC B4                  CD: BF track: 0   min: 0 sek: 0
B4 2C E8 98 BC FE 6F BC                  CD: 93 track: 17   min: 67 sek: 43
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 BB FE FF FF FF 6F BC                  CD: 4 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
