"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","ENABLE","DATA","CLK"
3280,20000,0,0,0,0,0,1,1,0
3281,20000,0,0,0,0,0,1,1,1
3282,20000,0,0,0,0,0,1,1,0
3284,20000,0,0,0,0,0,1,1,1
3285,20000,0,0,0,0,0,1,1,0
3286,20000,0,0,0,0,0,1,1,1
3288,20000,0,0,0,0,0,1,1,0
3289,20000,0,0,0,0,0,1,1,1
3290,20000,0,0,0,0,0,1,1,0
3292,20000,0,0,0,0,0,1,0,1
3293,20000,0,0,0,0,0,1,0,0
3294,20000,0,0,0,0,0,1,0,1
3295,20000,0,0,0,0,0,1,1,1
3296,20000,0,0,0,0,0,1,1,0
3297,20000,0,0,0,0,0,1,1,1
3298,20000,0,0,0,0,0,1,1,0
3299,20000,0,0,0,0,0,1,1,1
3301,20000,0,0,0,0,0,1,1,0
3302,20000,0,0,0,0,0,1,1,1
3303,20000,0,0,0,0,0,1,1,0
3305,20000,0,0,0,0,0,1,1,1
3306,20000,0,0,0,0,0,1,1,0
3307,20000,0,0,0,0,0,1,1,1
3309,20000,0,0,0,0,0,1,1,0
3310,20000,0,0,0,0,0,1,1,1
3312,20000,0,0,0,0,0,1,1,0
3313,20000,0,0,0,0,0,1,0,1
3314,20000,0,0,0,0,0,1,0,0
3315,20000,0,0,0,0,0,1,0,1
3316,20000,0,0,0,0,0,1,1,1
3317,20000,0,0,0,0,0,1,1,0
3318,20000,0,0,0,0,0,1,1,1
3319,20000,0,0,0,0,0,1,1,0
3321,20000,0,0,0,0,0,1,1,1
3322,20000,0,0,0,0,0,1,1,0
3323,20000,0,0,0,0,0,1,1,1
3325,20000,0,0,0,0,0,1,1,0
3326,20000,0,0,0,0,0,1,1,1
3327,20000,0,0,0,0,0,1,1,0
3328,20000,0,0,0,0,0,1,1,1
3332,20000,0,0,0,0,0,1,1,0
3333,20000,0,0,0,0,0,1,1,1
3335,20000,0,0,0,0,0,1,1,0
3336,20000,0,0,0,0,0,1,0,1
3337,20000,0,0,0,0,0,1,0,0
3338,20000,0,0,0,0,0,1,0,1
3339,20000,0,0,0,0,0,1,1,1
3340,20000,0,0,0,0,0,1,1,0
3341,20000,0,0,0,0,0,1,1,1
3342,20000,0,0,0,0,0,1,1,0
3344,20000,0,0,0,0,0,1,0,1
3345,20000,0,0,0,0,0,1,0,0
3346,20000,0,0,0,0,0,1,0,1
3347,20000,0,0,0,0,0,1,1,0
3349,20000,0,0,0,0,0,1,0,1
3350,20000,0,0,0,0,0,1,0,0
3351,20000,0,0,0,0,0,1,0,1
3355,20000,0,0,0,0,0,0,1,1
5356,20000,0,0,0,0,0,1,1,1
5358,20000,0,0,0,0,0,0,1,1
5360,20000,0,0,0,0,0,1,1,1
5361,20000,0,0,0,0,0,1,0,1
5362,20000,0,0,0,0,0,1,0,0
5363,20000,0,0,0,0,0,1,0,1
5364,20000,0,0,0,0,0,1,0,0
5365,20000,0,0,0,0,0,1,0,1
5367,20000,0,0,0,0,0,1,0,0
5368,20000,0,0,0,0,0,1,0,1
5369,20000,0,0,0,0,0,1,0,0
5371,20000,0,0,0,0,0,1,1,1
5372,20000,0,0,0,0,0,1,1,0
5373,20000,0,0,0,0,0,1,1,1
5375,20000,0,0,0,0,0,1,1,0
5376,20000,0,0,0,0,0,1,1,1
5377,20000,0,0,0,0,0,1,1,0
5378,20000,0,0,0,0,0,1,1,1
5380,20000,0,0,0,0,0,1,1,0
5381,20000,0,0,0,0,0,1,1,1
5383,20000,0,0,0,0,0,1,1,0
5384,20000,0,0,0,0,0,1,1,1
5385,20000,0,0,0,0,0,1,0,0
5387,20000,0,0,0,0,0,1,1,1
5388,20000,0,0,0,0,0,1,1,0
5389,20000,0,0,0,0,0,1,1,1
5390,20000,0,0,0,0,0,1,0,0
5392,20000,0,0,0,0,0,1,1,1
5393,20000,0,0,0,0,0,1,1,0
5394,20000,0,0,0,0,0,1,1,1
5396,20000,0,0,0,0,0,1,1,0
5397,20000,0,0,0,0,0,1,1,1
5398,20000,0,0,0,0,0,1,0,0
5400,20000,0,0,0,0,0,1,1,1
5401,20000,0,0,0,0,0,1,1,0
5402,20000,0,0,0,0,0,1,1,1
5404,20000,0,0,0,0,0,1,1,0
5405,20000,0,0,0,0,0,1,1,1
5406,20000,0,0,0,0,0,1,0,0
5408,20000,0,0,0,0,0,1,1,1
5409,20000,0,0,0,0,0,1,1,0
5410,20000,0,0,0,0,0,1,1,1
5412,20000,0,0,0,0,0,1,1,0
